id	Macula-file	BHSA-start	Ref	Export
genesis	01-Gen	0	GEN	Yes
exodus	02-Exo	28764	EXOD	Yes
leviticus	03-Lev	52512	LEV	Yes
numbers	04-Num	69611	NUM	Yes
deuteronomy	05-Deu	92799	DEUT	Yes
joshua	06-Jos	112927	JOSH	No
judges	07-Jdg	127453	JUDG	No
1_samuel	09-1Sa	141539	1SAM	No
2_samuel	10-2Sa	160468	2SAM	No
1_kings	11-1Ki	176080	1KGS	No
2_kings	12-2Ki	194765	2KGS	No
isaiah	23-Isa	212072	ISA	No
jeremiah	24-Jer	235003	JER	No
ezekiel	26-Ezk	264739	EZEK	No
hosea	28-HOS	290921	HOS	No
joel	29-Jol	294067	JOEL	No
amos	30-Amo	295385	AMOS	No
obadiah	31-Oba	298165	OBAD	No
jonah	32-Jon	298557	JONAH	No
micah	33-Mic	299542	MIC	No
nahum	34-Nam	301437	NAH	No
habakkuk	35-Hab	302183	HAB	No
zephaniah	36-Zep	303080	ZEPH	No
haggai	37-Hag	304117	HAG	No
zechariah	38-Zec	304994	ZECH	No
malachi	39-Mal	309465	MAL	No
psalms	19-Psa	310652	PS	No
job	18-Job	336024	JOB	No
proverbs	20-Pro	346936	PROV	No
ruth	08-Rut	355795	RUTH	Yes
song_of_songs	22-Sng	357597	SONG	No
ecclesiastes	21-Ecc	359279	ECCL	No
lamentations	25-Lam	363512	LAM	No
esther	17-Est	365457	ESTH	No
daniel	27-Dan	370078	DAN	No
ezra	15-Ezr	378150	EZRA	No
nehemiah	16-Neh	383418	NEH	No
1_chronicles	13-1Ch	391260	1CHR	No
2_chronicles	14-2Ch	406826	2CHR	No
